Rpackage,Downloads
Rcpp,693288
ggplot2,598484
stringr,543434
plyr,523220
digest,521344
reshape2,483065
colorspace,476304
RColorBrewer,453858
manipulate,395232
scales,394389
labeling,373374
proto,369096
munsell,368949
gtable,364015
dichromat,362562
mime,352780
RCurl,340530
bitops,322743
zoo,302052
knitr,295528
car,295156
R6,284022
magrittr,277844
evaluate,270151
httr,266488
rJava,260985
jsonlite,255779
dplyr,246916
DBI,243914
highr,242289
lme4,241864
formatR,239541
markdown,237529
devtools,235868
quantreg,235102
Hmisc,233664
SparseM,228734
nloptr,223500
minqa,221535
caTools,220349
yaml,219480
MASS,214201
RcppEigen,212423
Formula,205511
htmltools,204896
pbkrtest,197163
gtools,185757
XML,185286
mvtnorm,184257
latticeExtra,177693
BH,176148
lazyeval,175113
lattice,167153
mgcv,165148
assertthat,159088
acepack,156624
xtable,155823
sandwich,152340
memoise,151114
roxygen2,149294
sp,148749
shiny,148329
gdata,148243
rstudioapi,147881
Matrix,147174
foreach,146324
RJSONIO,145311
e1071,143514
foreign,138717
brew,137563
rpart,136047
iterators,135679
testthat,134227
rmarkdown,134101
rgl,131600
rjson,129841
gridExtra,129743
xlsx,128886
data.table,128729
chron,128469
quadprog,127616
boot,126692
whisker,124481
codetools,124076
igraph,123930
RcppArmadillo,123050
forecast,122511
nlme,121380
gplots,120695
tseries,120357
reshape,116186
timeDate,114521
psych,111415
nnet,108856
randomForest,106620
KernSmooth,106327
httpuv,105142
maps,104766
multcomp,101607
cluster,101233
xts,98603
abind,98116
survival,96903
tm,95535
mnormt,94810
RSQLite,93975
lmtest,92787
slam,91307
coda,87751
maptools,87669
RODBC,81511
NLP,80625
plotrix,80618
XLConnect,80142
leaps,77685
rgdal,75763
quantmod,71061
robustbase,69871
Rcmdr,69007
scatterplot3d,67805
kernlab,62497
modeltools,60255
TTR,59054
vcd,56548
effects,55559
vegan,51073
timeSeries,48932
sem,43041
strucchange,42796
relimp,41680
matrixcalc,41065
fBasics,40250
aplpack,37790
tree,28106
akima,16602
